District,STATE,ID
Kabirdham,Chhattisgarh,192
Kalaburagi,Karnataka,193
Kalahandi,Odisha,194
Kandhamal,Odisha,195
Kangra,Himachal Pradesh,196
Uttar Bastar Kanker,Chhattisgarh,197
Kannauj,Uttar Pradesh,198
Kannur,Kerala,199
Kanpur,Uttar Pradesh,200
Kanpur Dehat,Uttar Pradesh,201
Karaikal,Puducherry,202
Karauli,Rajasthan,203
Kasaragod,Kerala,204
Kasganj,Uttar Pradesh,205
Katni,Madhya Pradesh,206
Kaushambi,Uttar Pradesh,207
Kendraparha,Odisha,208
Keonjhar (Kendujhar),Odisha,209
Kheri,Uttar Pradesh,210
Khordha,Odisha,211
Khowai,Tripura,212
Khunti,Jharkhand,213
Ganganagar,Rajasthan,214
East Jaintia Hills,Meghalaya,215
Kodagu,Karnataka,216
Kodarma,Jharkhand,217
Kolar,Karnataka,218
Kollam,Kerala,219
Kondagaon,Chhattisgarh,220
Koppal,Karnataka,221
Koraput,Odisha,222
Korba,Chhattisgarh,223
Korea,Chhattisgarh,224
Kota,Rajasthan,225
Kottayam,Kerala,226
Kozhikode,Kerala,227
Krishna,Andhra Pradesh,228
Kullu,Himachal Pradesh,229
Kurnool,Andhra Pradesh,230
Kushinagar,Uttar Pradesh,231
Lakshadweep,Lakshadweep,232
Lalitpur,Uttar Pradesh,233
Latehar,Jharkhand,234
Lohardaga,Jharkhand,235
Lucknow,Uttar Pradesh,236
Mahasamund,Chhattisgarh,237
Mahe,Puducherry,238
Mahisagar,Gujarat,239
Mahoba,Uttar Pradesh,240
Mainpuri,Uttar Pradesh,241
Malappuram,Kerala,242
"Disputed (Sahibganj, Maldah & Katihar)","Disputed (West Bengal , Bihar & Jharkhand)",243
Malkangiri,Odisha,244
Mandya,Karnataka,245
Mandi,Himachal Pradesh,246
Mandla,Madhya Pradesh,247
Mandsaur,Madhya Pradesh,248
Mathura,Uttar Pradesh,249
Mau,Uttar Pradesh,250
Mayurbhanj,Odisha,251
Meerut,Uttar Pradesh,252
Mirzapur,Uttar Pradesh,253
Moradabad,Uttar Pradesh,254
Morena,Madhya Pradesh,255
Mungeli,Chhattisgarh,256
Muzaffarnagar,Uttar Pradesh,257
Mysuru,Karnataka,258
Nabarangapur,Odisha,259
Nagaur,Rajasthan,260
Nainital,Uttarakhand,261
Narainpur,Chhattisgarh,262
Narmada,Gujarat,263
Narshimapura,Madhya Pradesh,264
Nayagarh,Odisha,265
Potti Sriramulu Nellore,Andhra Pradesh,266
New Delhi,Delhi,267
Nicobar,Andaman & Nicobar,268
Nimach,Madhya Pradesh,269
North,Delhi,270
North,Sikkim,271
North & Middle Andaman,Andaman & Nicobar,272
North East,Delhi,273
North Goa,Goa,274
North Tripura,Tripura,275
North West,Delhi,276
Nuaparha,Odisha,277
Pakur,Jharkhand,278
Palakkad,Kerala,279
Palamu,Jharkhand,280
Pali,Rajasthan,281
Panch Mahals,Gujarat,282
Panna,Madhya Pradesh,283
West Singhbhum,Jharkhand,284
Pattanamthitta,Kerala,285
Pauri Garhwal,Uttarakhand,286
Pilibhit,Uttar Pradesh,287
Prakasam,Andhra Pradesh,288
Pratapgarh,Rajasthan,289
Disputed (Mandsaur & Jhalawar),Disputed (Madhya Pradesh & Rajasthan),290
Pratapgarh,Uttar Pradesh,291
Puducherry,Puducherry,292
East Singhbhum,Jharkhand,293
Puri,Odisha,294
Raibeareli,Uttar Pradesh,295
Raichur,Karnataka,296
Raigarh,Chhattisgarh,297
Raipur,Chhattisgarh,298
Raisen,Madhya Pradesh,299
Raj Nandgaon,Chhattisgarh,300
Rajgarh,Madhya Pradesh,301
Raj Samand,Rajasthan,302
Ramgarh,Jharkhand,303
Ramanagaram,Karnataka,304
Rampur,Uttar Pradesh,305
Ranchi,Jharkhand,306
Ratlam,Madhya Pradesh,307
Rayagarha,Odisha,308
Rewa,Madhya Pradesh,309
Rudraprayag,Uttarakhand,310
Sabar Kantha,Gujarat,311
Sagar,Madhya Pradesh,312
Saharanpur,Uttar Pradesh,313
Sahibganj,Jharkhand,314
Saiha,Mizoram,315
Sambalpur,Odisha,316
Sambhal,Uttar Pradesh,317
Santkabirnagar,Uttar Pradesh,318
Saraikela-Kharsawan,Jharkhand,319
Satna,Madhya Pradesh,320
Sawai Madhopur,Rajasthan,321
Sehore,Madhya Pradesh,322
Seoni,Madhya Pradesh,323
Sepahijala,Tripura,324
Shahadra,Delhi,325
Shahdol,Madhya Pradesh,326
Shahjahanpur,Uttar Pradesh,327
Shajapur,Madhya Pradesh,328
Shamli,Uttar Pradesh,329
Sheopur,Madhya Pradesh,330
Shimla,Himachal Pradesh,331
Shivamogga,Karnataka,332
Shivpuri,Madhya Pradesh,333
Shrawasti,Uttar Pradesh,334
Siddharthnagar,Uttar Pradesh,335
Sidhi,Madhya Pradesh,336
Sikar,Rajasthan,337
Simdega,Jharkhand,338
Singrauli,Madhya Pradesh,339
Sirmaur,Himachal Pradesh,340
Sirohi,Rajasthan,341
Sitapur,Uttar Pradesh,342
Solan,Himachal Pradesh,343
Sonbhadra,Uttar Pradesh,344
South,Delhi,345
South,Sikkim,346
South Andaman,Andaman & Nicobar,347
South Garo Hills,Meghalaya,348
South Goa,Goa,349
South Tripura,Tripura,350
South West,Delhi,351
Srikakulam,Andhra Pradesh,352
Subarnapur,Odisha,353
Sukma,Chhattisgarh,354
Sultanpur,Uttar Pradesh,355
Sundargarh,Odisha,356
Surajpur,Chhattisgarh,357
Surguja,Chhattisgarh,358
Tapi,Gujarat,359
Tehri Garhwal,Uttarakhand,360
Thiruvananthapuram,Kerala,361
Trissur,Kerala,362
Tikamgarh,Madhya Pradesh,363
Tonk,Rajasthan,364
Tumakuru,Karnataka,365
Udaipur,Rajasthan,366
Udham Singh Nagar,Uttarakhand,367
Udupi,Karnataka,368
Ujjain,Madhya Pradesh,369
Umaria,Madhya Pradesh,370
Una,Himachal Pradesh,371
Unnao,Uttar Pradesh,372
Unokoti,Tripura,373
Uttara  Kannada,Karnataka,374
Vadodara,Gujarat,375
Varanasi,Uttar Pradesh,376
Vidisha,Madhya Pradesh,377
Vijayapura,Karnataka,378
Visakhapatnam,Andhra Pradesh,379
Vizianagaram,Andhra Pradesh,380
Wayanad,Kerala,381
West,Sikkim,382
West,Delhi,383
West Garo Hills,Meghalaya,384
West Godavari,Andhra Pradesh,385
West Khasi Hills,Meghalaya,386
West Nimar,Madhya Pradesh,387
West Tripura,Tripura,388
Yadgir,Karnataka,389
Yanam,Puducherry,390
Baudh (Bauda),Odisha,391
Lawngtlai,Mizoram,392
Serchhip,Mizoram,393
Kolasib,Mizoram,394
Mamit,Mizoram,395
Lunglei,Mizoram,396
Mirpur,Jammu And Kashmir,397
Muzaffarabad,Jammu And Kashmir,398
Punch,Jammu And Kashmir,399
Anantnag,Jammu And Kashmir,400
Baramula,Jammu And Kashmir,401
Kathua,Jammu And Kashmir,402
Udhampur,Jammu And Kashmir,403
Prayagraj,Uttar Pradesh,404
Ri-Bhoi,Meghalaya,405
South East,Delhi,406
South West Khasi Hills,Meghalaya,407
South West Garo Hills,Meghalaya,408
North Garo Hills,Meghalaya,409
West Jaintia Hills,Meghalaya,410
Aizawl,Mizoram,411
Badgam,Jammu And Kashmir,412
Bandipura,Jammu And Kashmir,413
Ganderbal,Jammu And Kashmir,414
Kulgam,Jammu And Kashmir,415
Kupwara,Jammu And Kashmir,416
Pulwama,Jammu And Kashmir,417
Rajauri,Jammu And Kashmir,418
Ramban,Jammu And Kashmir,419
Riasi,Jammu And Kashmir,420
Shupiyan,Jammu And Kashmir,421
Srinagar,Jammu And Kashmir,422
Leh,Ladakh,423
Kargil,Ladakh,424
Kishtwar,Jammu And Kashmir,425
Doda,Jammu And Kashmir,426
Samba,Jammu And Kashmir,427
Imphal East,Manipur,428
Jiribam,Manipur,429
